id,publicar,nome,sigla,tipo_unidade,instituicao,sigla_instituicao,natureza_instituicao,unidade_vinculacao,area_principal,areas_secundarias,responsavel_nome,responsavel_cargo,email_contato,telefone_contato,url,endereco,cidade,uf,latitude,longitude,precisao_geo,relevancia,grau_verificacao,data_verificacao
ufpb-aria,sim,Laboratório de Aplicações em Inteligência Artificial,ARIA,laboratório,Universidade Federal da Paraíba,UFPB,universidade federal,"Centro de Informática (CI), campus I",ciencia_de_dados,politicas_publicas,,,aria@ci.ufpb.br,,https://aria.ci.ufpb.br/,"Centro de Informática, Rua dos Escoteiros, s/n, Mangabeira, Campus I da UFPB, João Pessoa - PB, CEP 58055-000",João Pessoa,PB,-7.1414,-34.83,campus,"O laboratório faz transferência de tecnologia de processamento de linguagem natural e ciência de dados para o setor público, competência aplicável à classificação e à catalogação de acervos documentais.",parcial,2026-09-17
ufcg-lsd,sim,Laboratório de Sistemas Distribuídos,LSD,laboratório,Universidade Federal de Campina Grande,UFCG,universidade federal,"Unidade Acadêmica de Sistemas e Computação, Centro de Engenharia Elétrica e Informática",ciencia_de_dados,,,,lsd@lsd.ufcg.edu.br,,https://www.lsd.ufcg.edu.br/,"Avenida Aprígio Veloso, 882, Bloco CO, Bairro Universitário, Campina Grande - PB, CEP 58429-900",Campina Grande,PB,-7.2149,-35.9088,endereco,"O laboratório trabalha ciência de dados sobre sistemas complexos e mantém projetos de longa duração com órgãos públicos, experiência aplicável à infraestrutura de processamento de grandes bases institucionais.",parcial,2026-09-17
ufpe-cin,sim,Centro de Informática,CIn,centro,Universidade Federal de Pernambuco,UFPE,universidade federal,"Unidade acadêmica da UFPE, campus Recife",ciencia_de_dados,divulgacao_cientifica,Sérgio Castelo Branco Soares,Diretor,diretoria@cin.ufpe.br,+55 81 2126-8430,https://portal.cin.ufpe.br/,"Avenida Jornalista Aníbal Fernandes, s/n, Cidade Universitária, Recife - PE, CEP 50740-560",Recife,PE,-8.0554,-34.9513,endereco,"O centro mantém mais de 20 laboratórios de ensino e pesquisa e graduação própria em inteligência artificial, sendo interlocutor para estudos sobre formação e indicadores da pós-graduação em computação.",verificado,2026-09-17
ufrn-imd,sim,Instituto Metrópole Digital,IMD,instituto,Universidade Federal do Rio Grande do Norte,UFRN,universidade federal,Unidade acadêmica especializada da UFRN,ciencia_de_dados,politicas_publicas; divulgacao_cientifica,José Ivonildo do Rêgo,Diretor-geral,ascom@imd.ufrn.br,+55 84 3342-2216,https://www.metropoledigital.ufrn.br/portal/,"Campus Universitário Central da UFRN, Avenida Capitão-Mor Gouveia, s/n, Lagoa Nova, Natal - RN, CEP 59078-900",Natal,RN,-5.8321,-35.2058,endereco,"O instituto reúne formação em ciência de dados e inteligência artificial com projetos de governo digital e inclusão digital, e opera escritórios em três cidades, modelo útil para estudos de capilaridade da formação em dados.",verificado,2026-09-17
ufam-icomp,sim,Instituto de Computação,IComp,instituto,Universidade Federal do Amazonas,UFAM,universidade federal,"Unidade acadêmica da UFAM, campus Manaus",ciencia_de_dados,divulgacao_cientifica,José Luiz de Souza Pio,Diretor,,+55 92 3305-1181,https://icomp.ufam.edu.br/,"Avenida Rodrigo Otávio, 6200, Coroado I, Campus Universitário Senador Arthur Virgílio Filho, Setor Norte, Manaus - AM, CEP 69080-900",Manaus,AM,-3.0975,-59.976,campus,Unidade acadêmica da UFAM responsável pelos cursos de graduação e pós-graduação em computação em Manaus.,parcial,2026-09-17
ufpa-ccad-ia,sim,Centro de Computação de Alto Desempenho e Inteligência Artificial,CCAD-IA,centro,Universidade Federal do Pará,UFPA,universidade federal,"Órgão suplementar da UFPA, campus Belém",ciencia_de_dados,divulgacao_cientifica,,,suporte-ccad@ufpa.br,+55 91 3201-7651,https://www.ccad.ufpa.br/,"Rua Bettina Ferro de Souza, Portão 4, Bairro Universitário, Belém - PA, CEP 66075-110",Belém,PA,-1.4738,-48.4523,endereco,"O centro é a infraestrutura de computação de alto desempenho da Amazônia oriental e articula 16 laboratórios de pesquisa em dados, referência para políticas de infraestrutura computacional para a ciência brasileira.",parcial,2026-09-17
ufpa-lid,sim,Laboratório de Inteligência de Dados,LID,laboratório,Universidade Federal do Pará,UFPA,universidade federal,"Instituto de Ciências Exatas e Naturais (ICEN), com sede no prédio do Centro de Computação de Alto Desempenho",ciencia_de_dados,,Reginaldo Cordeiro dos Santos Filho,Coordenador,regicsf@ufpa.br,,https://ufpa.br/orgaos/laboratorio-de-inteligencia-de-dados/,"Rua Augusto Corrêa, 01, Campus Universitário do Guamá, Prédio do Centro Paraense de Computação de Alto Desempenho, Guamá, Belém - PA, CEP 66075-110",Belém,PA,-1.4744,-48.4528,endereco,"O laboratório trata grandes bases de dados de áreas diversas e produz visualizações e modelos de detecção de padrões, competência aplicável à análise de bases da pós-graduação.",verificado,2026-09-17
ufrr-laboratorios-fox-data-e-ia-maloca-das-icoisas,sim,Laboratórios Fox Data e IA/Maloca das iCoisas,,laboratório,Universidade Federal de Roraima,UFRR,universidade federal,"Departamento de Ciência da Computação, Centro de Tecnologia e Inovação, Campus Paricarana",ciencia_de_dados,divulgacao_cientifica,,,,,https://ufrr.br/,"Campus Paricarana, Avenida Capitão Ene Garcez, 2413, Aeroporto, Boa Vista - RR, CEP 69310-000",Boa Vista,RR,2.8397,-60.6933,campus,"São a capacidade instalada de ciência de dados em Roraima e demonstram a expansão da formação em dados para estados com pós-graduação em consolidação, tema de interesse para estudos de assimetria regional do Sistema Nacional de Pós-Graduação.",parcial,2026-09-17
uft-lbdes,sim,Laboratório de Banco de Dados e Engenharia de Software,LBDES,laboratório,Universidade Federal do Tocantins,UFT,universidade federal,"Curso de Ciência da Computação, Câmpus de Palmas",ciencia_de_dados,politicas_publicas,Ary Henrique Morais de Oliveira,Coordenador,lbdes@uft.edu.br,+55 63 3229-4513,https://www.uft.edu.br/campus/palmas/laboratorios/lbdes/sobre-o-laboratorio,"Câmpus de Palmas, Avenida NS-14, ALCNO 14, Quadra 109 Norte, Bloco 3, Sala 104, Plano Diretor Norte, Palmas - TO, CEP 77001-090",Palmas,TO,-10.1809,-48.3559,endereco,"O laboratório analisa grandes volumes de dados aplicados a educação e a saúde e é unidade credenciada pela EMBRAPII, referência de capacidade instalada de análise de dados no Norte.",verificado,2026-09-17
ufes-ninfa,sim,Núcleo de Inferência e Algoritmos,NINFA,núcleo,Universidade Federal do Espírito Santo,UFES,universidade federal,"Centro Tecnológico, Departamento de Informática",ciencia_de_dados,,,,,,https://ninfa.ufes.br/,"Avenida Fernando Ferrari, 514, Goiabeiras, Campus de Goiabeiras, Vitória - ES, CEP 29075-910",Vitória,ES,-20.2757,-40.304,campus,"O núcleo combina inferência estatística e mineração de dados em projetos aplicados, competência útil à construção de indicadores e de modelos preditivos sobre bases institucionais.",parcial,2026-09-17
fjp-direi,sim,Diretoria de Estatística e Informações,Direi,diretoria,Fundação João Pinheiro,FJP,instituição pública de pesquisa não universitária,,ciencia_de_dados,politicas_publicas,Marconi Martins de Laia,Diretor de Estatística e Informações,marconi.laia@fjp.mg.gov.br,(31) 3448-9718,https://fjp.mg.gov.br/servicos-fjp/estatistica-e-informacoes/,"Alameda das Acácias, 70, São Luiz, Pampulha, CEP 31275-150",Belo Horizonte,MG,-19.8582,-43.9762,endereco,"A Direi produz índices, indicadores e estatísticas econômicas, demográficas e sociais de Minas Gerais, incluindo o Índice Mineiro de Responsabilidade Social. Referência em produção de indicadores por instituição pública de pesquisa estadual.",verificado,2026-09-17
ufmg-ciia-saude,sim,Centro de Inovação em Inteligência Artificial para a Saúde,CIIA-Saúde,centro,Universidade Federal de Minas Gerais,UFMG,universidade federal,"Departamento de Ciência da Computação (DCC), em parceria com a Faculdade de Medicina e o Hospital das Clínicas",ciencia_de_dados,politicas_publicas; divulgacao_cientifica,Virgílio Almeida,Coordenador geral,,+55 31 3409-5860,https://ciia-saude.dcc.ufmg.br/home/,"Avenida Antônio Carlos, 6627, Prédio do ICEx, Pampulha, Belo Horizonte - MG, CEP 31270-901",Belo Horizonte,MG,-19.8697,-43.9636,endereco,"O centro reúne 95 pesquisadores com bolsa de produtividade do CNPq e trata de gestão de sistemas de saúde com dados, experiência aplicável a indicadores setoriais e a estudos de avaliação de políticas.",parcial,2026-09-17
fgv-fgv-emap,sim,Escola de Matemática Aplicada,FGV EMAp,escola,Fundação Getulio Vargas,FGV,universidade privada,Unidade acadêmica da FGV no Rio de Janeiro,ciencia_de_dados,politicas_publicas; divulgacao_cientifica,César Camacho,Diretor,emap@fgv.br,+55 21 3799-5917,https://emap.fgv.br/,"Praia de Botafogo, 190, 5º andar, Botafogo, Rio de Janeiro - RJ, CEP 22250-900",Rio de Janeiro,RJ,-22.9412,-43.1794,endereco,"A escola mantém graduação e pós-graduação em Matemática Aplicada e Ciência de Dados e produz estudos aplicados a epidemiologia e a políticas públicas, sendo interlocutora para metodologia de indicadores.",verificado,2026-09-17
fiocruz-icict,sim,Instituto de Comunicação e Informação Científica e Tecnológica em Saúde,Icict,instituto,Fundação Oswaldo Cruz,Fiocruz,instituição pública de pesquisa não universitária,,ciencia_de_dados,divulgacao_cientifica,Adriano da Silva,Diretor,diretoria.icict@fiocruz.br,(21) 3865-3131,https://www.icict.fiocruz.br/,"Av. Brasil, 4365, Pavilhão Haity Moussatché, Manguinhos, CEP 21040-900",Rio de Janeiro,RJ,-22.876,-43.2445,campus,"O Icict reúne gestão de informação científica, repositórios institucionais e produção de indicadores de saúde.",verificado,2026-09-17
fiocruz-pcdas,sim,Plataforma de Ciência de Dados aplicada à Saúde,PCDaS,programa,Fundação Oswaldo Cruz,Fiocruz,instituição pública de pesquisa não universitária,"Laboratório de Informação em Saúde (Lis), Instituto de Comunicação e Informação Científica e Tecnológica em Saúde (Icict)",ciencia_de_dados,,Marcel Pedroso,Coordenador,pcdas@icict.fiocruz.br,,https://pcdas.icict.fiocruz.br/,"Av. Brasil, 4.035, Campus Maré, Sala 713, Manguinhos, CEP 21040-361",Rio de Janeiro,RJ,-22.8776,-43.2483,endereco,"A PCDaS documenta, harmoniza e disponibiliza bases de dados públicas com ferramentas de análise e dicionários de dados.",verificado,2026-09-17
ibge-ence,sim,Escola Nacional de Ciências Estatísticas,ENCE,escola,Instituto Brasileiro de Geografia e Estatística,IBGE,instituição pública de pesquisa não universitária,,ciencia_de_dados,politicas_publicas,Maysa Sacramento de Magalhães,Coordenadora-geral,coordence@ibge.gov.br,(21) 2142-4677,https://ence.ibge.gov.br/,"Rua André Cavalcanti, 106, Bairro de Fátima, CEP 20231-050",Rio de Janeiro,RJ,-22.9126,-43.1876,endereco,Referência em produção de estatísticas públicas e como unidade do Sistema Nacional de Pós-Graduação fora do ambiente universitário.,parcial,2026-09-17
mcti-lncc,sim,Laboratório Nacional de Computação Científica,LNCC,laboratório,"Ministério da Ciência, Tecnologia e Inovação",MCTI,instituição pública de pesquisa não universitária,,ciencia_de_dados,,Fábio Borges de Oliveira,Diretor,diretoria@lncc.br,(24) 2233-6000,https://www.gov.br/lncc/pt-br,"Av. Getúlio Vargas, 333, Quitandinha, CEP 25651-075",Petrópolis,RJ,-22.5273,-43.2114,endereco,O LNCC opera infraestrutura nacional de computação de alto desempenho e mantém pós-graduação em modelagem computacional. É referência técnica para processamento e análise de grandes volumes de dados institucionais.,verificado,2026-09-17
puc-rio-daslab,sim,"daslab, Núcleo de Inovação Tecnológica em Ciência de Dados",daslab,laboratório,Pontifícia Universidade Católica do Rio de Janeiro,PUC-Rio,universidade privada,Departamento de Informática,ciencia_de_dados,divulgacao_cientifica,Hélio Côrtes Vieira Lopes,Coordenador,lopes@inf.puc-rio.br,+55 21 3527-1500,http://www.inf.puc-rio.br/blog/laboratorio/daslab/,"Rua Marquês de São Vicente, 225, Sala 408 RDC, Gávea, Rio de Janeiro - RJ, CEP 22451-900",Rio de Janeiro,RJ,-22.9791,-43.233,endereco,"O laboratório trabalha visualização de dados, mineração de processos e ética em computação, temas aplicáveis a painéis gerenciais e a governança de dados institucionais.",verificado,2026-09-17
ufrj-edc,sim,Linha de Engenharia de Dados e Conhecimento,EDC,grupo de pesquisa,Universidade Federal do Rio de Janeiro,UFRJ,universidade federal,"Programa de Engenharia de Sistemas e Computação (PESC), COPPE",ciencia_de_dados,divulgacao_cientifica,,,edc@cos.ufrj.br,,https://edc.cos.ufrj.br/,"Avenida Horácio Macedo, 2030, Centro de Tecnologia, Bloco H, Sala 319, Cidade Universitária, Rio de Janeiro - RJ, CEP 21941-914",Rio de Janeiro,RJ,-22.8593,-43.2306,endereco,"A linha trabalha gestão do conhecimento, bancos de dados e sistemas de recomendação há mais de 30 anos, competência aplicável à organização e à recuperação de acervos de dados institucionais.",parcial,2026-09-17
ai2-ai2,sim,Advanced Institute for Artificial Intelligence,AI2,instituto,Advanced Institute for Artificial Intelligence,AI2,instituição pública de pesquisa não universitária,"Consórcio de pesquisadores, com convênio com FAPESP, USP, Unicamp e UNESP",ciencia_de_dados,politicas_publicas,,,ai2@advancedinstitute.ai,,https://advancedinstitute.ai/,"Rua Lincoln de Albuquerque, 259, Lincoln Offices 38 B, Perdizes, São Paulo - SP, CEP 05004-010",São Paulo,SP,-23.534,-46.683,endereco,"O instituto articula pesquisadores de várias universidades em torno de problemas públicos e mantém convênio com a FAPESP e três universidades estaduais paulistas, arranjo de interesse para estudos sobre cooperação interinstitucional em pesquisa.",parcial,2026-09-17
governo-do-estado-de-sao-paulo-seade,sim,Fundação Sistema Estadual de Análise de Dados,Seade,instituto,Governo do Estado de São Paulo,,instituição pública de pesquisa não universitária,,ciencia_de_dados,politicas_publicas,,,,(11) 3324-7200,https://www.seade.gov.br/,"Av. Prof. Lineu Prestes, 913, Cidade Universitária, CEP 05508-000",São Paulo,SP,-23.5605,-46.7263,endereco,"A Seade coleta, analisa e dissemina dados demográficos, econômicos e sociais e mantém portais de dados abertos e painéis públicos.",parcial,2026-09-17
insper-centro-de-dados-e-inteligencia-artificial,sim,Centro de Dados e Inteligência Artificial,,centro,Insper Instituto de Ensino e Pesquisa,Insper,universidade privada,Área de pesquisa e conhecimento do Insper,ciencia_de_dados,politicas_publicas,André Filipe de Moraes Batista,Coordenador técnico,,,https://www.insper.edu.br/pt/pesquisa/centro-de-dados-e-ia,"Rua Quatá, 300, Vila Olímpia, São Paulo - SP, CEP 04546-042",São Paulo,SP,-23.596,-46.687,endereco,"O centro produz análises de dados aplicadas a decisão e a políticas públicas, em articulação com o Centro de Gestão e Políticas Públicas da instituição, tema próximo à avaliação de programas.",parcial,2026-09-17
mcti-cemaden,sim,Centro Nacional de Monitoramento e Alertas de Desastres Naturais,Cemaden,centro,"Ministério da Ciência, Tecnologia e Inovação",MCTI,instituição pública de pesquisa não universitária,,ciencia_de_dados,politicas_publicas,Osvaldo Luiz Leal de Moraes,Diretor,contato@cemaden.gov.br,(12) 3205-0201,https://www.gov.br/cemaden/pt-br,"Parque de Inovação Tecnológica, Estrada Doutor Altino Bondensan, 500, Distrito de Eugênio de Melo, CEP 12247-016",São José dos Campos,SP,-23.1789,-45.8095,campus,"O Cemaden opera coleta contínua de dados de rede própria de sensores, modelagem e emissão de alertas, com divulgação pública dos dados. Referência em infraestrutura de dados operacional em instituição federal de pesquisa.",parcial,2026-09-17
unesp-ncc,sim,Núcleo de Computação Científica,NCC,núcleo,Universidade Estadual Paulista Júlio de Mesquita Filho,UNESP,universidade estadual,"Unidade complementar da UNESP, campus Barra Funda, São Paulo",ciencia_de_dados,divulgacao_cientifica,,,,,https://www.ncc.unesp.br/,"Rua Doutor Bento Teobaldo Ferraz, 271, Bloco II, Barra Funda, São Paulo - SP, CEP 01140-070",São Paulo,SP,-23.5265,-46.665,endereco,"O núcleo opera a infraestrutura de computação científica e de processamento de grandes volumes de dados da UNESP, referência para dimensionamento de capacidade computacional para pesquisa.",parcial,2026-09-17
unicamp-recod-ai,sim,Laboratório de Inteligência Artificial Recod.ai,Recod.ai,laboratório,Universidade Estadual de Campinas,UNICAMP,universidade estadual,Instituto de Computação (IC),ciencia_de_dados,,Anderson de Rezende Rocha,Coordenador,diretoria@ic.unicamp.br,+55 19 3521-5839,https://recod.ai/,"Avenida Albert Einstein, 1251, Cidade Universitária, Campinas - SP, CEP 13083-852",Campinas,SP,-22.8137,-47.0637,endereco,"O laboratório desenvolve métodos de detecção de conteúdo sintético e de verificação de integridade de mídias, tema relevante para a curadoria e a validação de acervos digitais e de dados divulgados.",parcial,2026-09-17
ufabc-cmcc,sim,"Centro de Matemática, Computação e Cognição",CMCC,centro,Universidade Federal do ABC,UFABC,universidade federal,Órgão executivo setorial da UFABC,ciencia_de_dados,,Marcelo Salvador Caetano,Diretor,direcao.cmcc@ufabc.edu.br,+55 11 4996-7956,https://cmcc.ufabc.edu.br/,"Avenida dos Estados, 5001, Bloco A, Torre 2, 6º andar, Sala 604-2, Bangu, Santo André - SP, CEP 09280-560",Santo André,SP,-23.644,-46.5283,endereco,"O centro mantém bacharelado em Ciência de Dados e pós-graduação em Ciência da Computação e Matemática, sendo fonte de referência sobre formação e produção acadêmica na área.",verificado,2026-09-17
usp-cemeai,sim,Centro de Ciências Matemáticas Aplicadas à Indústria,CeMEAI,centro,Universidade de São Paulo,USP,universidade estadual,"Instituto de Ciências Matemáticas e de Computação (ICMC), campus de São Carlos",ciencia_de_dados,divulgacao_cientifica,Francisco Louzada Neto,Diretor,contatocemeai@icmc.usp.br,+55 16 3373-8159,https://cemeai.icmc.usp.br/,"Avenida Trabalhador São Carlense, 400, Centro, São Carlos - SP, CEP 13566-590",São Carlos,SP,-22.0071,-47.8967,endereco,"O centro tem eixo próprio de educação e difusão do conhecimento e mantém laboratórios de analytics e estatística, com experiência em transferência de métodos quantitativos que pode apoiar a produção de indicadores e painéis.",verificado,2026-09-17
usp-cea,sim,Centro de Estatística Aplicada,CEA,centro,Universidade de São Paulo,USP,universidade estadual,"Departamento de Estatística, Instituto de Matemática e Estatística (IME)",ciencia_de_dados,politicas_publicas,,,,,https://www.ime.usp.br/cea/,"Rua do Matão, 1010, Cidade Universitária, Butantã, São Paulo - SP, CEP 05508-090",São Paulo,SP,-23.5586,-46.7325,endereco,"Centro fundado em 1974 no qual docentes do Departamento de Estatística do IME-USP prestam consultoria e assessoria em estatística aplicada a órgãos da universidade, a outras instituições públicas e privadas e a pessoas físicas.",parcial,2026-09-17
usp-c4ai,sim,Centro de Inteligência Artificial,C4AI,centro,Universidade de São Paulo,USP,universidade estadual,"InovaUSP, com segunda unidade no Instituto de Ciências Matemáticas e de Computação (ICMC) em São Carlos",ciencia_de_dados,politicas_publicas; divulgacao_cientifica,Fabio Gagliardi Cozman,Diretor,c4ai@usp.br,+55 11 2648-1695,https://c4ai.inova.usp.br/,"InovaUSP, Avenida Professor Lúcio Martins Rodrigues, 370, Butantã, São Paulo - SP",São Paulo,SP,-23.5595,-46.7276,campus,"O centro mantém linha de pesquisa sobre políticas de inteligência artificial em economias emergentes e processamento de linguagem natural em português, temas aplicáveis à análise de acervos documentais e de dados da pós-graduação.",parcial,2026-09-17
ufpr-c3sl,sim,Centro de Computação Científica e Software Livre,C3SL,centro,Universidade Federal do Paraná,UFPR,universidade federal,"Departamento de Informática (DInf), Setor de Ciências Exatas",ciencia_de_dados,politicas_publicas; divulgacao_cientifica,Marcos Alexandre Castilho,Coordenador,contato@c3sl.ufpr.br,+55 41 3361-3567,https://www.c3sl.ufpr.br/,"Campus Centro Politécnico, Departamento de Informática, Bloco da Informática, Rua Coronel Francisco Heráclito dos Santos, 100, Jardim das Américas, Curitiba - PR, CEP 81530-000",Curitiba,PR,-25.4506,-49.2331,campus,"O centro desenvolve e mantém plataformas de dados educacionais para ministérios e órgãos federais, incluindo o Laboratório de Dados Educacionais, o que o torna referência direta em catalogação de dados públicos e painéis gerenciais.",verificado,2026-09-17
ufpr-lde,sim,Laboratório de Dados Educacionais,LDE,laboratório,Universidade Federal do Paraná,UFPR,universidade federal,"Núcleo de Políticas Educacionais (NuPE), Setor de Educação, e Centro de Computação Científica e Software Livre (C3SL), Setor de Ciências Exatas",ciencia_de_dados,divulgacao_cientifica; politicas_publicas,Thiago Alves,Coordenador,dadoseducacionais@ufpr.br,+55 41 3535-6264,https://dadoseducacionais.c3sl.ufpr.br/,"Campus Centro Politécnico, Departamento de Informática, Rua Coronel Francisco Heráclito dos Santos, 100, Jardim das Américas, Curitiba - PR, CEP 81530-000",Curitiba,PR,-25.4506,-49.2331,campus,"Laboratório mantido em conjunto pela UFPR e pela UFG que reúne dados e indicadores da educação básica e superior, detalhados por estados, municípios e escolas.",parcial,2026-09-17
utfpr-lamia,sim,Laboratório de Aprendizado de Máquina Aplicado à Indústria,LAMIA,laboratório,Universidade Tecnológica Federal do Paraná,UTFPR,universidade federal,Campus Santa Helena,ciencia_de_dados,,Thiago França Naves,Coordenador geral,lamia-sh@utfpr.edu.br,,https://www.lamia-edu.com/,"UTFPR Campus Santa Helena, Bloco L, Santa Helena - PR, CEP 85892-000",Santa Helena,PR,-24.8583,-54.3333,campus,"O laboratório é unidade EMBRAPII com carteira ativa de projetos de ciência de dados, caso de referência sobre articulação entre pesquisa universitária e demanda externa por análise de dados.",parcial,2026-09-17
